Category,Sub-category,User,Account,Expense-Frequency,Min-expenses-amount,Max-expenses-amount,Max-times-per-month,Valid-expense-types
Investment,SIP,Anirban,Anirban-ICICI,monthly,3000,3000,1,"Monthly SIP Investment"
Investment,Mutual Funds,Anirban,Anirban-SBI,monthly,1000,15000,2,"MF Purchase - Lumpsum|MF Purchase - Topup|Equity Fund Investment|Debt Fund Topup"
Investment,Stocks,Anirban,Anirban-SBI,monthly,1000,20000,2,"Stock Purchase - Tata Motors|Stock Purchase - HDFC Bank|Stock Purchase - Reliance|Intraday Trade"
Investment,FD/RD,Anirban,Anirban-SBI,monthly,5000,25000,1,"New Fixed Deposit|Recurring Deposit Installment"
Rent,House Rent,Anirban,Anirban-ICICI,monthly,30000,30000,1,"Monthly House Rent Payment"
Travel,Day Trip,Anirban,Anirban-SBI,ad-hoc,500,5000,2,"Nandi Hills Trip Expense|Mysore Day Out|Lunch during Day Trip|Fuel for Day Trip"
Travel,Day Trip,Anirban,Anirban-ICICI,ad-hoc,500,5000,3,"Nandi Hills Trip Expense|Mysore Day Out|Lunch during Day Trip|Fuel for Day Trip"
Travel,Day Trip,Puspita,Puspita-SBI,ad-hoc,500,4500,2,"Shivanasamudra Falls Trip|Ramanagara Day Out|Snacks during Day Trip|Entry Fees"
Travel,Day Trip,Puspita,Puspita-Bandhan,ad-hoc,500,4500,2,"Shivanasamudra Falls Trip|Ramanagara Day Out|Snacks during Day Trip|Entry Fees"
Travel,Vacation,Anirban,Anirban-SBI,ad-hoc,2000,40000,1,"Goa Trip Expenses|Kerala Vacation Booking|Vacation Miscellaneous|Sightseeing Costs"
Travel,Vacation,Anirban,Anirban-ICICI,ad-hoc,2000,40000,1,"Goa Trip Expenses|Kerala Vacation Booking|Vacation Miscellaneous|Sightseeing Costs"
Travel,Vacation,Puspita,Puspita-SBI,ad-hoc,2000,35000,1,"Ooty Weekend Trip|Chennai Vacation Expense|Vacation Shopping|Food during Vacation"
Travel,Vacation,Puspita,Puspita-Bandhan,ad-hoc,2000,40000,1,"Ooty Weekend Trip|Chennai Vacation Expense|Vacation Shopping|Food during Vacation"
Travel,Commute,Anirban,Anirban-SBI,ad-hoc,50,500,10,"Bus Ticket - Office|Metro Card Recharge - Silk Board|Auto Rickshaw Fare|Bike Fuel - Commute"
Travel,Commute,Anirban,Anirban-ICICI,ad-hoc,50,500,15,"Bus Ticket - Office|Metro Card Recharge - Silk Board|Auto Rickshaw Fare|Bike Fuel - Commute"
Travel,Commute,Puspita,Puspita-SBI,ad-hoc,50,400,12,"Bus Ticket - Work|Metro Card Recharge - MG Road|Auto Rickshaw Fare - Market|Scooter Fuel"
Travel,Commute,Puspita,Puspita-Bandhan,ad-hoc,50,400,5,"Bus Ticket - Work|Metro Card Recharge - MG Road|Auto Rickshaw Fare - Market|Scooter Fuel"
Travel,Cab,Anirban,Anirban-SBI,ad-hoc,80,1500,8,"Uber to Airport|Ola from Office|Rapido Ride|Late Night Cab"
Travel,Cab,Anirban,Anirban-ICICI,ad-hoc,80,1500,12,"Uber to Airport|Ola from Office|Rapido Ride|Late Night Cab"
Travel,Cab,Puspita,Puspita-SBI,ad-hoc,80,1200,10,"Uber to Mall|Ola to Friend's Place|Rapido to Station|Airport Cab"
Travel,Cab,Puspita,Puspita-Bandhan,ad-hoc,100,1500,4,"Uber to Mall|Ola to Friend's Place|Rapido to Station|Airport Cab"
Travel,Train,Anirban,Anirban-SBI,ad-hoc,200,3500,2,"IRCTC Booking - Chennai|Tatkal Ticket - Mysore|Vande Bharat Ticket|Train Platform Ticket"
Travel,Train,Anirban,Anirban-ICICI,ad-hoc,200,3500,2,"IRCTC Booking - Chennai|Tatkal Ticket - Mysore|Vande Bharat Ticket|Train Platform Ticket"
Travel,Train,Puspita,Puspita-SBI,ad-hoc,200,3000,2,"IRCTC Booking - Home|Tatkal Ticket - Office|Shatabdi Ticket|Train Food Purchase"
Travel,Train,Puspita,Puspita-Bandhan,ad-hoc,500,4000,2,"IRCTC Booking - Home|Tatkal Ticket - Office|Shatabdi Ticket|Train Food Purchase"
Travel,Flight,Anirban,Anirban-SBI,ad-hoc,2500,15000,1,"Indigo Booking - Delhi|Air India - Mumbai|GoAir Flight|Spicejet Booking"
Travel,Flight,Anirban,Anirban-ICICI,ad-hoc,2500,15000,1,"Indigo Booking - Delhi|Air India - Mumbai|GoAir Flight|Spicejet Booking"
Travel,Flight,Puspita,Puspita-SBI,ad-hoc,2500,12000,1,"Indigo Flight - Kolkata|Air India - Chennai|GoAir Booking - Home|Vistara Flight"
Travel,Flight,Puspita,Puspita-Bandhan,ad-hoc,3000,18000,2,"Indigo Flight - Kolkata|Air India - Chennai|GoAir Booking - Home|Vistara Flight"
Travel,Hotel/Stay,Anirban,Anirban-SBI,ad-hoc,1000,10000,2,"OYO Stay - Weekend Trip|Treebo Hotel - Vacation|Airbnb Booking|Local Hotel Stay"
Travel,Hotel/Stay,Anirban,Anirban-ICICI,ad-hoc,1000,12000,2,"OYO Stay - Weekend Trip|Treebo Hotel - Vacation|Airbnb Booking|Local Hotel Stay"
Travel,Hotel/Stay,Puspita,Puspita-SBI,ad-hoc,1000,9000,2,"FabHotel Stay|Ginger Hotel Booking|Weekend Resort Stay|Vacation Hotel"
Travel,Hotel/Stay,Puspita,Puspita-Bandhan,ad-hoc,1500,12000,2,"FabHotel Stay|Ginger Hotel Booking|Weekend Resort Stay|Vacation Hotel"
Travel,Parking Fee,Anirban,Anirban-SBI,ad-hoc,30,300,10,"Parking @ Forum Mall|Parking @ Office|Orion Mall Parking|Airport Parking Fee"
Travel,Parking Fee,Anirban,Anirban-ICICI,ad-hoc,30,300,15,"Parking @ Forum Mall|Parking @ Office|Orion Mall Parking|Airport Parking Fee"
Restaurant,Dine-in,Anirban,Anirban-ICICI,ad-hoc,400,3500,8,"Dinner @ Empire|Lunch @ Meghana Foods|Weekend Brunch @ Toit|Team Lunch"
